rank	kanji	kind
711	夕	Kyōiku (1st grade)
712	比	Kyōiku (5th grade)
713	球	Kyōiku (3rd grade)
714	材	Kyōiku (4th grade)
715	狙	Jōyō
716	敗	Kyōiku (4th grade)
717	慌	Jōyō
718	騒	Jōyō
719	建	Kyōiku (4th grade)
720	川	Kyōiku (1st grade)
721	郎	Jōyō
722	圧	Kyōiku (5th grade)
723	窓	Kyōiku (6th grade)
724	布	Kyōiku (5th grade)
725	誘	Jōyō
726	改	Kyōiku (4th grade)
727	呪	Jōyō
728	照	Kyōiku (4th grade)
729	末	Kyōiku (4th grade)
730	雑	Kyōiku (5th grade)
731	戸	Kyōiku (2nd grade)
732	奪	Jōyō
733	除	Kyōiku (6th grade)
734	輝	Jōyō
735	銃	Jōyō
736	値	Kyōiku (6th grade)
737	司	Kyōiku (4th grade)
738	争	Kyōiku (4th grade)
739	炎	Jōyō
740	短	Kyōiku (3rd grade)
741	働	Kyōiku (4th grade)
742	毎	Kyōiku (2nd grade)
743	否	Kyōiku (6th grade)
744	責	Kyōiku (5th grade)
745	祭	Kyōiku (3rd grade)
746	跡	Jōyō
747	研	Kyōiku (3rd grade)
748	麗	Jōyō
749	印	Kyōiku (4th grade)
750	崩	Jōyō
751	酒	Kyōiku (3rd grade)
752	歌	Kyōiku (2nd grade)
753	弟	Kyōiku (2nd grade)
754	凄	Jōyō
755	液	Kyōiku (5th grade)
756	波	Kyōiku (3rd grade)
757	銀	Kyōiku (3rd grade)
758	独	Kyōiku (5th grade)
759	演	Kyōiku (5th grade)
760	基	Kyōiku (5th grade)
761	弁	Kyōiku (5th grade)
762	抗	Jōyō
763	価	Kyōiku (5th grade)
764	権	Kyōiku (6th grade)
765	提	Kyōiku (5th grade)
766	旅	Kyōiku (3rd grade)
767	尽	Jōyō
768	老	Kyōiku (4th grade)
769	尋	Jōyō
770	床	Jōyō
771	緊	Jōyō
772	繰	Jōyō
773	鼻	Kyōiku (3rd grade)
774	査	Kyōiku (5th grade)
775	被	Jōyō
776	館	Kyōiku (3rd grade)
777	悟	Jōyō
778	庭	Kyōiku (3rd grade)
779	労	Kyōiku (4th grade)
780	暮	Kyōiku (6th grade)
781	了	Jōyō
782	脳	Kyōiku (6th grade)
783	沈	Jōyō
784	慢	Jōyō
785	描	Jōyō
786	号	Kyōiku (3rd grade)
787	陣	Jōyō
788	幼	Kyōiku (6th grade)
789	毛	Kyōiku (2nd grade)
790	絵	Kyōiku (2nd grade)
791	鳥	Kyōiku (2nd grade)
792	留	Kyōiku (5th grade)
793	適	Kyōiku (5th grade)
794	究	Kyōiku (3rd grade)
795	仮	Kyōiku (5th grade)
796	写	Kyōiku (3rd grade)
797	締	Jōyō
798	羽	Kyōiku (2nd grade)
799	操	Kyōiku (6th grade)
800	傾	Jōyō
801	迫	Jōyō
802	純	Kyōiku (6th grade)
803	呆	Hyōgai
804	撫	Jinmeiyō
805	北	Kyōiku (2nd grade)
806	境	Kyōiku (5th grade)
807	頂	Kyōiku (6th grade)
808	己	Kyōiku (6th grade)
809	堂	Kyōiku (5th grade)
810	資	Kyōiku (5th grade)
811	鉄	Kyōiku (3rd grade)
812	舌	Kyōiku (6th grade)
813	骨	Kyōiku (6th grade)
814	甲	Jōyō
815	雨	Kyōiku (1st grade)
816	威	Jōyō
817	頬	Hyōgai
818	飯	Kyōiku (4th grade)
819	拠	Jōyō
820	衝	Jōyō
821	華	Jōyō
822	嘘	Hyōgai
823	悔	Jōyō
824	修	Kyōiku (5th grade)
825	猫	Jōyō
826	晴	Kyōiku (2nd grade)
827	毒	Kyōiku (5th grade)
828	協	Kyōiku (4th grade)
829	積	Kyōiku (4th grade)
830	厳	Kyōiku (6th grade)
831	政	Kyōiku (5th grade)
832	尻	Jōyō
833	荒	Jōyō
834	希	Kyōiku (4th grade)
